project_id,date,forks,committer_id,commits,commit_comment,req_opened,req_closed,req_merged,other,issue,issue_comment,watchers
1512197,2012-07-13,0,"{298338: 4, 437226: 1}",5,0,0,0,0,0,0,0,2
1512197,2012-07-14,0,"{298338: 5, 437226: 1}",6,0,0,0,0,0,0,0,0
1512197,2012-07-15,0,{437226: 2},2,0,0,0,0,0,0,0,0
1512197,2012-07-16,0,{},0,0,0,0,0,0,0,0,0
1512197,2012-07-17,0,{437226: 3},3,0,0,0,0,0,0,0,0
1512197,2012-07-18,0,{437226: 6},6,0,0,0,0,0,0,0,0
1512197,2012-07-19,0,{298338: 2},2,0,0,0,0,0,0,0,0
1512197,2012-07-20,0,{},0,0,0,0,0,0,0,0,0
1512197,2012-07-21,0,{298338: 2},2,0,0,0,0,0,0,0,0
1512197,2012-07-22,0,{298338: 2},2,0,0,0,0,0,0,0,0
